Value,Emotion,Time_Mins_Secs
7,anger,0:05:18
6,anger,0:05:18
6,anger,0:05:18
4,anger,0:05:18
6,anger,0:05:18
6,anger,0:05:18
7,anger,0:05:19
8,anger,0:05:19
2,anger,0:05:19
2,anger,0:05:19
8,anger,0:05:20
4,anger,0:05:20
2,anger,0:05:21
2,anger,0:05:21
6,anger,0:05:21
2,anger,0:05:21
2,anger,0:05:21
6,anger,0:05:21
3,anger,0:05:21
5,anger,0:05:22
1,anger,0:05:22
4,anger,0:05:22
3,anger,0:05:23
6,anger,0:05:23
2,anger,0:05:23
2,anger,0:05:23
8,anger,0:05:24
2,anger,0:05:24
2,anger,0:05:24
4,anger,0:05:24
3,anger,0:05:24
2,anger,0:05:24
4,anger,0:05:24
4,anger,0:05:24
8,anger,0:05:24
2,anger,0:05:24
6,anger,0:05:25
2,anger,0:05:25
6,anger,0:05:25
3,anger,0:05:25
5,anger,0:05:25
2,anger,0:05:25
2,anger,0:05:26
2,anger,0:05:26
3,anger,0:05:26
6,anger,0:05:27
2,anger,0:05:27
6,anger,0:05:27
2,anger,0:05:27
5,anger,0:05:28
2,anger,0:05:28
6,anger,0:05:28
4,anger,0:05:28
2,anger,0:05:28
2,anger,0:05:29
6,anger,0:05:29
6,anger,0:05:29
6,anger,0:05:29
3,anger,0:05:29
6,anger,0:05:30
2,anger,0:05:30
8,anger,0:05:30
2,anger,0:05:31
1,anger,0:05:31
3,anger,0:05:31
2,anger,0:05:32
8,anger,0:05:32
7,anger,0:05:32
5,anger,0:05:32
2,anger,0:05:32
5,anger,0:05:32
7,anger,0:05:33
7,anger,0:05:34
2,anger,0:05:34
7,anger,0:05:34
3,anger,0:05:34
5,anger,0:05:34
3,anger,0:05:35
3,anger,0:05:35
5,anger,0:05:35
2,anger,0:05:35
1,anger,0:05:35
4,anger,0:05:35
9,anger,0:05:36
2,anger,0:05:36
1,anger,0:05:36
4,anger,0:05:36
1,anger,0:05:36
4,anger,0:05:36
6,anger,0:05:36
1,anger,0:05:37
7,anger,0:05:37
4,anger,0:05:37
2,anger,0:05:38
3,anger,0:05:38
3,anger,0:05:38
2,anger,0:05:38
6,anger,0:05:39
2,anger,0:05:39
3,anger,0:05:39
5,anger,0:05:39
3,anger,0:05:40
4,anger,0:05:40
4,anger,0:05:40
4,anger,0:05:41
4,anger,0:05:41
4,anger,0:05:41
4,anger,0:05:41
6,anger,0:05:41
1,anger,0:05:42
4,anger,0:05:42
2,anger,0:05:42
9,anger,0:05:42
1,anger,0:05:42
2,anger,0:05:42
3,anger,0:05:43
5,anger,0:05:43
4,anger,0:05:43
1,anger,0:05:43
5,anger,0:05:44
4,anger,0:05:44
5,anger,0:05:45
6,anger,0:05:45
2,anger,0:05:45
1,anger,0:05:45
5,anger,0:05:45
7,anger,0:05:46
1,anger,0:05:46
1,anger,0:05:46
2,anger,0:05:46
2,anger,0:05:46
1,anger,0:05:46
8,anger,0:05:46
